id;exigence;etat_2026_09_16;preuve_ou_code;reste
F18;Consultation du RPPS via l’API Annuaire Santé à la saisie ou modification du numéro dans le profil.;Implémenté, contrôle distinct;"RPPS exact : trouvé/non trouvé/en attente ; demande/relance dossier ; preuves fournisseur antérieures. Code : profiles/rpps.ts ; profiles/profiles.module.ts. Front : /dossier";Inscription seule ne vérifie pas le RPPS. Numéro retrouvé ne prouve pas identité ou tous les diplômes.
F19;Tableau de bord agence, candidatures, propositions, sélection, refus et affectation.;Implémenté, scénarios testés;"Tableaux entreprise, candidatures, candidats classés, sélection humaine et affectation atomique. Code : missions/missions.module.ts ; matching/matching.module.ts. Front : /accueil ; /missions ; /gestion/missions/:id";"Propositions front limitées aux 20 premières ; ajouter navigation au-delà."
F20;Utilisation visible des données publiques nettoyées.;Partiel;"Offres normalisées visibles avec source/lien ; correspondance partielle dans API. Code : listings/listings.module.ts. Front : /missions ; /missions/:id";"/me/listings/:id/correspondence non consommé ; afficher critères/incertitudes détaillés."
F22;Dépôt et consultation autorisée d’un justificatif fictif chiffré.;Conservation partielle;"Dépôt PDF/PNG/JPEG fictif ≤ 5 MiB, contrôles, chiffrement et téléchargement autorisé. Code : documents/documents.module.ts ; documents/crypto.ts. Front : /dossier ; confirmations";Pas d’idempotence complète des dépôts/remplacements ni purge globale des doublons/orphelins.
SEC01;Connexion après session anonyme : nouvel identifiant, ancien inutilisable.;Preuve antérieure;"Renouvellement de session à la connexion ; auth.module.ts et journey.spec.ts.";"Portée limitée aux contrôles décrits ; pas de validation globale implicite."
SEC02;Déconnexion ou expiration : ancienne session refusée côté serveur.;Preuve antérieure;"Destruction de session/déconnexion/expiration ; recette HTTP historique.";"Portée limitée aux contrôles décrits ; pas de validation globale implicite."
SEC03;Échecs répétés : limitation effective sans divulgation de compte.;Implémenté, test actuel;"auth-rate-limit.ts : 50 écritures/15min ; test du refus suivant ; lectures exclues.";"Portée limitée aux contrôles décrits ; pas de validation globale implicite."
SEC04;Écriture sans protection CSRF valide : refus sans mutation.;Implémenté, preuve antérieure;"Origin/CSRF app.ts ; tests HTTP historiques non rejoués en écriture ici.";"Portée limitée aux contrôles décrits ; pas de validation globale implicite."
SEC05;Pièce d’un autre périmètre : ni contenu ni métadonnées privées divulgués.;Implémenté, preuve antérieure;"Téléchargement limité au titulaire/participants autorisés ; recette navigateur.";"Portée limitée aux contrôles décrits ; pas de validation globale implicite."
SEC06;Liste ou export inter-organisation : aucune ressource non autorisée.;Implémenté, preuve antérieure;"membership/agency_link/scope ; isolation missions/besoins testée.";"Portée limitée aux contrôles décrits ; pas de validation globale implicite."
SEC07;role ou verified injecté dans le client : aucun privilège acquis.;Implémenté, preuve antérieure;"DTO stricts et droits serveur ; tests injection de champs de privilège.";"Portée limitée aux contrôles décrits ; pas de validation globale implicite."
SEC08;Contenu libre malveillant : aucun code exécuté dans le navigateur.;Partiel;"React échappe les contenus ; pas de campagne XSS exhaustive actuelle.";"Portée limitée aux contrôles décrits ; pas de validation globale implicite."
SEC09;Filtres SQL/MongoDB malformés : erreur contrôlée, pas de requête arbitraire.;Partiel;"Requêtes paramétrées, DTO, UUID ; tous les filtres malformés non testés.";"Portée limitée aux contrôles décrits ; pas de validation globale implicite."
SEC10;Fichier trop gros ou trompeur : rejet et nettoyage des temporaires.;Implémenté, validation partielle;"Taille/signature MIME ; test HTML refusé comme PDF ; purge globale incomplète.";"Portée limitée aux contrôles décrits ; pas de validation globale implicite."
SEC11;Donnée chiffrée altérée ou mauvaise clé : refus sans contenu partiel.;Test actuel réussi;Chiffrement authentifié : altération et échange de documents refusés.;"Portée limitée aux contrôles décrits ; pas de validation globale implicite."
SEC12;Rotation de clé : nouvelles écritures et anciennes lectures cohérentes.;Preuve antérieure;"Versionnement clés et scénario rotation ; exercice global non refait.";"Portée limitée aux contrôles décrits ; pas de validation globale implicite."
SEC13;Affectations et notifications concurrentes : invariants et déduplication.;Preuves antérieures;Transaction affectation, exclusion SQL, idempotence et concurrence testées.;"Portée limitée aux contrôles décrits ; pas de validation globale implicite."
SEC14;"Token de service absent/invalide : refus ; token valide limité à son scope.";Implémenté, limites;"Jeton commun aux trois routes automation ; pas de séparation de scopes par workflow.";"Portée limitée aux contrôles décrits ; pas de validation globale implicite."
SEC15;Dépôt et exports n8n : aucun secret réel ni document personnel.;Preuves locales, audit final restant;"Exports et variables/Vault runtime ; aucune valeur secrète lue ici.";"Portée limitée aux contrôles décrits ; pas de validation globale implicite."
SEC16;Restauration isolée : accès autorisé au justificatif et parcours métier rejouable.;Non démontré intégralement;"Restaurations code/SQL historiques ; restauration SQL+Mongo+fichiers+clés+n8n non prouvée.";"Portée limitée aux contrôles décrits ; pas de validation globale implicite."
SEC17;Incident fictif : trace, alerte et procédure effectivement exercées.;Non démontré intégralement;"Logs/audit/reprises présents ; exercice incident bout en bout non établi.";"Portée limitée aux contrôles décrits ; pas de validation globale implicite."
SEC18;"Après déconnexion : aucune nouvelle réponse privée ni cache partagé ; documenter les limites du cache navigateur déjà affiché.";Implémenté, preuve antérieure;"Cache-Control no-store privé et déconnexion ; limites des pages déjà affichées à documenter.";"Portée limitée aux contrôles décrits ; pas de validation globale implicite."
R01;Secteur choisi et justifié;Documenté;Santé : README et cadrage.;Argumentaire collectif à valider hors audit du code.
R02;Taille du marché, acteurs et douleurs;Document présent, à valider;Étude SEO/concurrence et documents marché présents.;"Vérifier sources datées, taille du marché et besoins ; pas d’audit marché ici."
R03;Source publique et format consommable;"Implémenté ; preuve réelle antérieure";"France Travail JSON, FINESS et Annuaire Santé ; docs/proofs.";Fournisseurs non rappelés pendant cet audit.
R04;Proposition de valeur en une phrase;Documenté, à valider;Positionnement et présentation InfiMatch présents.;Valider une phrase commune au produit et au pitch.
R05;CDC à J+2, p. 2 et 6;Partiel documentaire;Planning et chiffrage V1 présents.;Remise effective du CDC à J+2 non démontrée par le code.
R06;Roadmap et périmètre;Documenté;PLANNING_4_PERSONNES_11_JOURS.md, DECISIONS_V1.md et V2.;Aligner le périmètre annoncé sur les écarts actuels.
R07;Estimation par fonction ou module;Documenté, à recalibrer;CHIFFRAGE_V1.md/.csv : estimations par lot.;Distinguer estimations, disponibilité réelle et temps effectivement passé.
R08;Go/no-go et ajustement;Non démontré;Go/no-go prévu dans le cadrage.;"Conserver une décision collective datée ; ne pas inventer sa tenue."
R09;Deux comptes/parcours;Implémenté, scénarios testés;"NURSE/ENTERPRISE ; entreprises AGENCY/ESTABLISHMENT ; inscriptions et droits distincts.";Affiliation agence–établissement par CLI, sans écran de gestion.
R10;Authentification sécurisée;"Implémenté localement ; livraison partielle";Argon2id, sessions SQL, cookies HttpOnly/SameSite, CSRF/Origin, limite auth, DTO stricts.;HTTPS et configuration de production à valider.
R11;Chiffrement repos/transit;Partiel — exigence non achevée;"Documents/RIB fictifs AES-256-GCM ; Vault en HTTPS.";"Frontend/API en HTTP local ; TLS interservices non démontré. HTTPS Vault ne couvre pas les autres flux."
R12;Mission poste/dates/lieu/compétences/salaire;Implémenté, scénarios testés;"Mission : poste, dates, lieu, qualification, compétences, salaire ; formulaire connecté.";Recette exhaustive et rattachement organisationnel préalable.
R13;Profil compétences/disponibilité/zone/expérience;Implémenté, scénarios testés;Profil détaillé, expériences, compétences, qualifications, zone et disponibilités persistés.;Déclarations de diplôme/expérience et vérification RPPS sont distinctes.
R14;Matching des missions ouvertes;"Backend implémenté ; front partiel";"Admissibilité puis score déterministe ; candidats proposés dans gestion de mission.";/me/matches et /matches/:id/explanation non consommés côté candidat.
R15;Dashboard ouverte/pourvue/terminée;Implémenté, scénarios testés;"Dashboards et listes avec OPEN/FILLED/COMPLETED ; transitions reliées.";Rejouer le parcours sur l’environnement livré.
R16;Consommer une source publique;"Implémenté ; preuve réelle antérieure";"Acquisition France Travail/FINESS ; preuves locales datées.";Accès et disponibilité fournisseur à revalider pour la démonstration finale.
R17;Nettoyer et reformater;Implémenté, scénarios testés;Normalisation, provenance, dédoublonnage et upsert source/source_id.;Retrait systématique des offres disparues du fournisseur manquant.
R18;Usage visible des données;Usage visible partiel;Offres externes consultables, source, redirection et favoris.;Correspondance personnelle détaillée et incertitudes non affichées.
R19;Au moins deux automatisations;"Implémenté localement ; preuve antérieure";Trois workflows n8n : match, relance, confirmation PDF.;"Sujet : minimum deux workflows ; n8n Cloud non obligatoire. Revalider sur l’environnement livré."
R20;Bases RGAA et savoir les citer;Partiel;"Labels, structure, focus, contrôles navigateur ; catalogue au clavier.";Audit global actuel des contrastes, lecteurs d’écran et états restant. RGAA total non exigé pour ce POC.
R21;Deux pratiques RGESN documentées;Partiel documentaire;Sprite d’icônes et chargement différé dans certaines vues.;"Anciennes affirmations SVG<2Ko et aucun appel réseau périmées ; documenter deux pratiques actuelles."
R22;RGPD : base, conservation, mentions;Partiel — affichage incohérent;CGU datées, mentions, documents privés et rétention Mongo.;"Mentions promettant purge, clôture et droits depuis l’espace sans parcours complet ; aligner engagements et code. Pas de validation juridique ici."
R23;Grandes règles de l’intérim;Non démontré intégralement;Dates, qualification, RPPS, expérience requise et confirmation fictive.;"Ces contrôles ne prouvent pas toutes les règles de l’intérim du secteur ; affirmation des mentions non justifiée par le code."
R24;Achat responsable/réemploi si pertinent;À documenter si pertinent;Aucun dispositif dédié établi par cet audit.;Justifier un axe responsable adapté ou expliquer son absence.
R25;SEO public : meta, titres, URLs, sitemap;Partiel;Titres, descriptions, URLs, robots et sitemap présents.;"Domaine de livraison non vérifié ; /missions protégé dans le sitemap ; pas de fiche publique indexable confirmée."
R26;Frontend JS en TypeScript;Implémenté, compilé;"React/TypeScript ; build réussi pendant cet audit.";Aucun manque de framework constaté.
R27;Mobile/tablette/desktop;Partiel, scénarios vérifiés;"Contrôles/captures 375/768/1440px ; galerie responsive.";Deux listes missions établissement/agence débordent sur mobile : 400 px pour 375 px.
R28;Backend Node en TypeScript;Implémenté, compilé;"NestJS/Node/TypeScript ; build backend réussi.";Aucun manque de framework constaté.
R29;Base relationnelle;Implémenté;PostgreSQL/PostGIS : comptes, organisations, missions, candidatures, affectations, sessions.;Privilèges minimaux et déploiement final à valider.
R30;Base non relationnelle complémentaire;Implémenté, usage métier;MongoDB : explications versionnées du matching, index de rétention.;Des données vides après nettoyage ne signifient pas une absence de code.
R31;Tests unitaires et fonctionnels critiques;"Implémenté ; recette finale restante";"65 tests backend et 9 client relancés  ; 18 scénarios navigateur antérieurs.";"Pas de relance des intégrations avec écritures après nettoyage ; prévoir environnement isolé."
R32;Coverage générée et livrée;Partiel — rapport à actualiser;Coverage historique :79,38 % lignes,84,33 % branches,15/09 à 01:29 Paris.;"Ne pas attribuer ces taux au code actuel ; regénérer la couverture de livraison."
R33;Bibliothèque CLI utilisée;Implémenté;Commander : migrations, imports, rattachements, seed, reprise outbox et documents.;Commandes d’écriture non rejouées ici.
R34;Auth classique comprise/implémentée;"Implémenté/testé ; compréhension à démontrer";Email/mot de passe/hash/sessions codés dans auth.module.ts.;"L’équipe doit pouvoir expliquer le code ; pas de validation automatique de compréhension."
R35;OAuth tiers via bibliothèque si proposé;"Implémenté ; validation utilisateur restante";"Google Identity Services et google-auth-library ; signature/audience/nonce et liaison protégée.";"Google facultatif dans le sujet ; connexion complète propriétaire non confirmée ; compte local préalable requis."
R36;Dépôt front/back organisé et README;Partiel documentaire;"Dépôts organisés, README et scripts ; nettoyage effectué.";"États documentaires historiques périmés ; installation propre et livraison finale à vérifier."
R37;Exports nocode, données/script et étude;"Livrables présents ; complétude à valider";Trois exports n8n, scripts de données et documents d’étude.;Assembler les versions finales et preuves cohérentes.
R38;Temps réels/écarts et support de pitch;Partiel / manquant;"Estimations présentes ; TEMPS_REELS.csv : une mesure de temps agent seulement.";Temps humains/écarts et support de pitch final non établis.
R39;Storytelling, live et participation de tous;Hors preuve technique;Parcours de démo et catalogue disponibles.;Répétition, storytelling et participation de chaque membre à démontrer.
R40;Adaptation aux questions du jury;Hors preuve technique;Documentation/tests pour appuyer les réponses.;Capacité à répondre au jury à vérifier en répétition et soutenance.
