id;exigence;preuve_attendue;etat_application;preuve_observee;responsable;date;commit
F12;Trois workflows n8n : notification de correspondance, génération d’une confirmation de mission depuis un modèle et relance d’une mission non pourvue.;Trois exécutions réelles démontrées, confirmation téléchargeable par les participants habilités et exports sans secrets.;teste sur scenarios - validation integrale restante;"docs/RECETTE_BACKEND_V1.md ; docs/proofs/verification.json (56 tests). Voir limites par exigence.";Equipe backend / collectif selon exigence;2026-09-15;e5a2d72db53559d7ee787e95e9d07ecb6d6ea574
F15;Acquisition d’offres par API, nettoyage, stockage et affichage dans la plateforme.;Source réelle, provenance visible, import rejouable et fonctionnement des offres externes explicite.;"backend teste sur scenarios ; integration frontend et validation integrale restantes";"RECTIFICATIF_CATALOGUE_V1.md ; proofs/france-travail-rectification.json ; 62 tests. API expose les criteres externes sans score. Frontend restant.";Equipe backend / collectif selon exigence;2026-09-15;voir proofs/verification.json
F17;Création, modification, publication et clôture des missions par l’agence.;"Champs du sujet présents ; permissions et transitions contrôlées.";teste sur scenarios - validation integrale restante;"docs/RECETTE_BACKEND_V1.md ; docs/proofs/verification.json (56 tests). Voir limites par exigence.";Equipe backend / collectif selon exigence;2026-09-15;e5a2d72db53559d7ee787e95e9d07ecb6d6ea574
F18;Consultation du RPPS via l’API Annuaire Santé à la saisie ou modification du numéro dans le profil.;"Numéro retrouvé : condition RPPS satisfaite ; non retrouvé : blocage ; service indisponible : vérification en attente. Statut serveur, résultat lié au numéro courant et tests des trois cas.";teste sur scenarios - validation integrale restante;"docs/proofs/ans-fhir-positive.json et ans-fhir-live.json : acces reels FOUND/NOT_FOUND ; tests PENDING et resultat tardif. Aucun profil reel modifie.";Equipe backend / collectif selon exigence;2026-09-15;e5a2d72db53559d7ee787e95e9d07ecb6d6ea574
F19;Tableau de bord agence, candidatures, propositions, sélection, refus et affectation.;Passage à « pourvue » après validation humaine réussie dans une transaction.;teste sur scenarios - validation integrale restante;"docs/RECETTE_BACKEND_V1.md ; docs/proofs/verification.json (56 tests). Voir limites par exigence.";Equipe backend / collectif selon exigence;2026-09-15;e5a2d72db53559d7ee787e95e9d07ecb6d6ea574
F20;Utilisation visible des données publiques nettoyées.;Parcours réel utilisant les données, avec exemple avant/après nettoyage.;"backend teste sur scenarios ; integration frontend et validation integrale restantes";"71 tests ; comparaison partielle privee ; includeUncertainExternal explicite ; proofs/external-partial-live.json (offres reelles, profils fictifs) ; frontend restant.";Equipe backend / collectif selon exigence;2026-09-15;voir proofs/verification.json
F22;Dépôt et consultation autorisée d’un justificatif fictif chiffré.;Contrôles de fichier, stockage privé, déchiffrement autorisé et testé.;teste sur scenarios - validation integrale restante;"docs/RECETTE_BACKEND_V1.md ; docs/proofs/verification.json (56 tests). Voir limites par exigence.";Equipe backend / collectif selon exigence;2026-09-15;e5a2d72db53559d7ee787e95e9d07ecb6d6ea574
SEC01;Connexion après session anonyme : nouvel identifiant, ancien inutilisable.;Connexion après session anonyme : nouvel identifiant, ancien inutilisable.;teste sur scenarios - validation integrale restante;"docs/RECETTE_BACKEND_V1.md ; docs/proofs/verification.json (56 tests). Voir limites par exigence.";Equipe backend / collectif selon exigence;2026-09-15;e5a2d72db53559d7ee787e95e9d07ecb6d6ea574
SEC02;Déconnexion ou expiration : ancienne session refusée côté serveur.;Déconnexion ou expiration : ancienne session refusée côté serveur.;teste sur scenarios - validation integrale restante;"docs/RECETTE_BACKEND_V1.md ; docs/proofs/verification.json (56 tests). Voir limites par exigence.";Equipe backend / collectif selon exigence;2026-09-15;e5a2d72db53559d7ee787e95e9d07ecb6d6ea574
SEC03;Échecs répétés : limitation effective sans divulgation de compte.;Échecs répétés : limitation effective sans divulgation de compte.;non execute;;Equipe backend / collectif selon exigence;2026-09-14;28923fc
SEC04;Écriture sans protection CSRF valide : refus sans mutation.;Écriture sans protection CSRF valide : refus sans mutation.;teste sur scenarios - validation integrale restante;"docs/RECETTE_BACKEND_V1.md ; docs/proofs/verification.json (56 tests). Voir limites par exigence.";Equipe backend / collectif selon exigence;2026-09-15;e5a2d72db53559d7ee787e95e9d07ecb6d6ea574
SEC05;Pièce d’un autre périmètre : ni contenu ni métadonnées privées divulgués.;Pièce d’un autre périmètre : ni contenu ni métadonnées privées divulgués.;teste sur scenarios - validation integrale restante;"docs/RECETTE_BACKEND_V1.md ; docs/proofs/verification.json (56 tests). Voir limites par exigence.";Equipe backend / collectif selon exigence;2026-09-15;e5a2d72db53559d7ee787e95e9d07ecb6d6ea574
SEC06;Liste ou export inter-organisation : aucune ressource non autorisée.;Liste ou export inter-organisation : aucune ressource non autorisée.;non execute;;Equipe backend / collectif selon exigence;2026-09-14;28923fc
SEC07;role ou verified injecté dans le client : aucun privilège acquis.;role ou verified injecté dans le client : aucun privilège acquis.;teste sur scenarios - validation integrale restante;"docs/RECETTE_BACKEND_V1.md ; docs/proofs/verification.json (56 tests). Voir limites par exigence.";Equipe backend / collectif selon exigence;2026-09-15;e5a2d72db53559d7ee787e95e9d07ecb6d6ea574
SEC08;Contenu libre malveillant : aucun code exécuté dans le navigateur.;Contenu libre malveillant : aucun code exécuté dans le navigateur.;non execute;;Equipe backend / collectif selon exigence;2026-09-14;28923fc
SEC09;Filtres SQL/MongoDB malformés : erreur contrôlée, pas de requête arbitraire.;Filtres SQL/MongoDB malformés : erreur contrôlée, pas de requête arbitraire.;non execute;;Equipe backend / collectif selon exigence;2026-09-14;28923fc
SEC10;Fichier trop gros ou trompeur : rejet et nettoyage des temporaires.;Fichier trop gros ou trompeur : rejet et nettoyage des temporaires.;non execute;;Equipe backend / collectif selon exigence;2026-09-14;28923fc
SEC11;Donnée chiffrée altérée ou mauvaise clé : refus sans contenu partiel.;Donnée chiffrée altérée ou mauvaise clé : refus sans contenu partiel.;teste sur scenarios - validation integrale restante;"docs/RECETTE_BACKEND_V1.md ; docs/proofs/verification.json (56 tests). Voir limites par exigence.";Equipe backend / collectif selon exigence;2026-09-15;e5a2d72db53559d7ee787e95e9d07ecb6d6ea574
SEC12;Rotation de clé : nouvelles écritures et anciennes lectures cohérentes.;Rotation de clé : nouvelles écritures et anciennes lectures cohérentes.;teste sur scenarios - validation integrale restante;"docs/RECETTE_BACKEND_V1.md ; docs/proofs/verification.json (56 tests). Voir limites par exigence.";Equipe backend / collectif selon exigence;2026-09-15;e5a2d72db53559d7ee787e95e9d07ecb6d6ea574
SEC13;Affectations et notifications concurrentes : invariants et déduplication.;Affectations et notifications concurrentes : invariants et déduplication.;teste sur scenarios - validation integrale restante;"docs/RECETTE_BACKEND_V1.md ; docs/proofs/verification.json (56 tests). Voir limites par exigence.";Equipe backend / collectif selon exigence;2026-09-15;e5a2d72db53559d7ee787e95e9d07ecb6d6ea574
SEC14;"Token de service absent/invalide : refus ; token valide limité à son scope.";"Token de service absent/invalide : refus ; token valide limité à son scope.";non execute;;Equipe backend / collectif selon exigence;2026-09-14;28923fc
SEC15;Dépôt et exports n8n : aucun secret réel ni document personnel.;Dépôt et exports n8n : aucun secret réel ni document personnel.;non execute;;Equipe backend / collectif selon exigence;2026-09-14;28923fc
SEC16;Restauration isolée : accès autorisé au justificatif et parcours métier rejouable.;Restauration isolée : accès autorisé au justificatif et parcours métier rejouable.;non execute;;Equipe backend / collectif selon exigence;2026-09-14;28923fc
SEC17;Incident fictif : trace, alerte et procédure effectivement exercées.;Incident fictif : trace, alerte et procédure effectivement exercées.;non execute;;Equipe backend / collectif selon exigence;2026-09-14;28923fc
SEC18;"Après déconnexion : aucune nouvelle réponse privée ni cache partagé ; documenter les limites du cache navigateur déjà affiché.";"Après déconnexion : aucune nouvelle réponse privée ni cache partagé ; documenter les limites du cache navigateur déjà affiché.";teste sur scenarios - validation integrale restante;"docs/RECETTE_BACKEND_V1.md ; docs/proofs/verification.json (56 tests). Voir limites par exigence.";Equipe backend / collectif selon exigence;2026-09-15;e5a2d72db53559d7ee787e95e9d07ecb6d6ea574
R01;Secteur choisi et justifié, p. 1–2;"§§1,17 ; étude de marché et argumentaire.";non execute;;Equipe backend / collectif selon exigence;2026-09-14;28923fc
R02;Taille du marché, acteurs et douleurs, p. 2;"§17 ; sources datées, besoins entreprise et intérimaire.";non execute;;Equipe backend / collectif selon exigence;2026-09-14;28923fc
R03;Source publique et format consommable, p. 2;"§12 ; accès testé, format et conditions documentés.";partiel - acquisition reelle testee;docs/proofs/france-travail-live.json : 50 offres reelles, persistance et rejeu sans doublons. Frontend et validation fournisseur exhaustive restants.;Equipe backend / collectif selon exigence;2026-09-14;
R04;Proposition de valeur en une phrase, p. 2;"§1 ; phrase confrontée au marché et reprise au pitch.";non execute;;Equipe backend / collectif selon exigence;2026-09-14;28923fc
R05;CDC à J+2, p. 2 et 6;"§17 ; CDC daté.";non execute;;Equipe backend / collectif selon exigence;2026-09-14;28923fc
R06;Roadmap et périmètre, p. 2;"§§3,4,17 ; V1 et versions futures distinguées.";non execute;;Equipe backend / collectif selon exigence;2026-09-14;28923fc
R07;Estimation par fonction ou module, p. 2;"§§2,17 ; chiffrage sans doublons.";non execute;;Equipe backend / collectif selon exigence;2026-09-14;28923fc
R08;Go/no-go et ajustement, p. 2;"§§12,17 ; décision et écarts explicites.";non execute;;Equipe backend / collectif selon exigence;2026-09-14;28923fc
R09;Deux comptes/parcours, p. 2;"§§3,5,11 ; inscriptions et droits réellement testés.";partiel;"Code et documents disponibles ; exigences frontend, fournisseur ou deploiement non toutes validees. Voir docs/REQUIREMENTS_V1.md.";Equipe backend / collectif selon exigence;2026-09-14;28923fc
R10;Authentification sécurisée, p. 2;"§§14,16 ; hachage, sessions et contrôles.";partiel;"Code et documents disponibles ; exigences frontend, fournisseur ou deploiement non toutes validees. Voir docs/REQUIREMENTS_V1.md.";Equipe backend / collectif selon exigence;2026-09-14;28923fc
R11;Chiffrement repos/transit, p. 2;"§§14,16 ; RIB/pièce fictifs, clés, HTTPS et TLS entre services vérifiés.";partiel;"Code et documents disponibles ; exigences frontend, fournisseur ou deploiement non toutes validees. Voir docs/REQUIREMENTS_V1.md.";Equipe backend / collectif selon exigence;2026-09-14;28923fc
R12;Mission poste/dates/lieu/compétences/salaire, p. 2;"§§7,10 ; création et publication avec frontend.";partiel;"Code et documents disponibles ; exigences frontend, fournisseur ou deploiement non toutes validees. Voir docs/REQUIREMENTS_V1.md.";Equipe backend / collectif selon exigence;2026-09-14;28923fc
R13;Profil compétences/disponibilité/zone/expérience, p. 2;"§§6–8 ; profil complet et contrôles.";partiel;"Code et documents disponibles ; exigences frontend, fournisseur ou deploiement non toutes validees. Voir docs/REQUIREMENTS_V1.md.";Equipe backend / collectif selon exigence;2026-09-14;28923fc
R14;Matching des missions ouvertes, p. 2;"§9 ; admissibilité, score et tests.";partiel;"Code et documents disponibles ; exigences frontend, fournisseur ou deploiement non toutes validees. Voir docs/REQUIREMENTS_V1.md.";Equipe backend / collectif selon exigence;2026-09-14;28923fc
R15;Dashboard ouverte/pourvue/terminée, p. 2;"§§3,10,11 ; compteurs et trois états visibles.";partiel;"Code et documents disponibles ; exigences frontend, fournisseur ou deploiement non toutes validees. Voir docs/REQUIREMENTS_V1.md.";Equipe backend / collectif selon exigence;2026-09-14;28923fc
R16;Consommer une source publique, p. 3;"§12 ; acquisition réelle et manifeste.";partiel - acquisition reelle testee;docs/proofs/france-travail-live.json : 50 offres reelles, persistance et rejeu sans doublons. Frontend et validation fournisseur exhaustive restants.;Equipe backend / collectif selon exigence;2026-09-14;
R17;Nettoyer et reformater, p. 3;"§12 ; script, transformations et rejets.";partiel - acquisition reelle testee;docs/proofs/france-travail-live.json : 50 offres reelles, persistance et rejeu sans doublons. Frontend et validation fournisseur exhaustive restants.;Equipe backend / collectif selon exigence;2026-09-14;
R18;Usage visible des données, p. 3;"§§3,12 ; parcours produit utilisant le jeu nettoyé.";partiel - acquisition reelle testee;docs/proofs/france-travail-live.json : 50 offres reelles, persistance et rejeu sans doublons. Frontend et validation fournisseur exhaustive restants.;Equipe backend / collectif selon exigence;2026-09-14;
R19;Au moins deux automatisations, p. 3;"§13 ; trois exports et exécutions réelles pour couvrir également F12, dont une confirmation générée.";teste sur scenarios - validation integrale restante;"docs/RECETTE_BACKEND_V1.md ; docs/proofs/verification.json (56 tests). Voir limites par exigence.";Equipe backend / collectif selon exigence;2026-09-15;e5a2d72db53559d7ee787e95e9d07ecb6d6ea574
R20;Bases RGAA et savoir les citer, p. 4;"§15 ; recette frontend et critères expliqués.";non execute;;Equipe backend / collectif selon exigence;2026-09-14;28923fc
R21;Deux pratiques RGESN documentées, p. 4;"§15 ; pratiques réellement observées.";non execute;;Equipe backend / collectif selon exigence;2026-09-14;28923fc
R22;RGPD : base, conservation, mentions, p. 4;"§15 ; notice et mécanismes associés.";non execute;;Equipe backend / collectif selon exigence;2026-09-14;28923fc
R23;Grandes règles de l’intérim, p. 4;"§15 ; scénario métier, sources et contrôles.";non execute;;Equipe backend / collectif selon exigence;2026-09-14;28923fc
R24;Achat responsable/réemploi si pertinent, p. 4;"§15 ; réflexion adaptée au secteur.";non execute;;Equipe backend / collectif selon exigence;2026-09-14;28923fc
R25;SEO public : meta, titres, URLs, sitemap, p. 4;"§15 ; pages et sitemap vérifiés.";non execute;;Equipe backend / collectif selon exigence;2026-09-14;28923fc
R26;Frontend JS en TypeScript, p. 5;"§§2,11,15 ; dépôt et build frontend.";non execute;;Equipe backend / collectif selon exigence;2026-09-14;28923fc
R27;Mobile/tablette/desktop, p. 5;"§15 ; recette sur les trois formats.";non execute;;Equipe backend / collectif selon exigence;2026-09-14;28923fc
R28;Backend Node en TypeScript, p. 5;"§§2,7 ; NestJS compilé et lancé.";teste sur scenarios - validation integrale restante;"docs/RECETTE_BACKEND_V1.md ; docs/proofs/verification.json (56 tests). Voir limites par exigence.";Equipe backend / collectif selon exigence;2026-09-15;e5a2d72db53559d7ee787e95e9d07ecb6d6ea574
R29;Base relationnelle, p. 5;"§7 ; PostgreSQL, migrations et écritures/lectures.";teste sur scenarios - validation integrale restante;"docs/RECETTE_BACKEND_V1.md ; docs/proofs/verification.json (56 tests). Voir limites par exigence.";Equipe backend / collectif selon exigence;2026-09-15;e5a2d72db53559d7ee787e95e9d07ecb6d6ea574
R30;Base non relationnelle complémentaire, p. 5;"§§7,9 ; MongoDB, écriture et lecture d’explications.";teste sur scenarios - validation integrale restante;"docs/RECETTE_BACKEND_V1.md ; docs/proofs/verification.json (56 tests). Voir limites par exigence.";Equipe backend / collectif selon exigence;2026-09-15;e5a2d72db53559d7ee787e95e9d07ecb6d6ea574
R31;Tests unitaires et fonctionnels critiques, p. 5;"§16 ; deux séquences et résultats réels.";teste sur scenarios - validation integrale restante;"docs/RECETTE_BACKEND_V1.md ; docs/proofs/verification.json (56 tests). Voir limites par exigence.";Equipe backend / collectif selon exigence;2026-09-15;e5a2d72db53559d7ee787e95e9d07ecb6d6ea574
R32;Coverage générée et livrée, p. 5;"§16 ; rapport avec commit et périmètre.";teste sur scenarios - validation integrale restante;"docs/RECETTE_BACKEND_V1.md ; docs/proofs/verification.json (56 tests). Voir limites par exigence.";Equipe backend / collectif selon exigence;2026-09-15;e5a2d72db53559d7ee787e95e9d07ecb6d6ea574
R33;Bibliothèque CLI utilisée, p. 5;"§12 ; bibliothèque et commande d’import exécutée.";partiel - acquisition reelle testee;docs/proofs/france-travail-live.json : 50 offres reelles, persistance et rejeu sans doublons. Frontend et validation fournisseur exhaustive restants.;Equipe backend / collectif selon exigence;2026-09-14;
R34;Auth classique comprise/implémentée, p. 5;"§14 ; code et explication par l’équipe.";partiel;"Code et documents disponibles ; exigences frontend, fournisseur ou deploiement non toutes validees. Voir docs/REQUIREMENTS_V1.md.";Equipe backend / collectif selon exigence;2026-09-14;28923fc
R35;OAuth tiers via bibliothèque si proposé, p. 5;"§§4,14 ; hors V1, règle conservée pour extension.";hors V1 conditionnel;"OAuth tiers non propose en V1 ; regle conservee pour extension.";Equipe backend / collectif selon exigence;2026-09-14;28923fc
R36;Dépôt front/back organisé et README, p. 6;"§17 ; démarrage depuis clone propre.";partiel;"Code et documents disponibles ; exigences frontend, fournisseur ou deploiement non toutes validees. Voir docs/REQUIREMENTS_V1.md.";Equipe backend / collectif selon exigence;2026-09-14;28923fc
R37;Exports nocode, données/script et étude, p. 6;"§§12,13,17 ; fichiers livrés.";partiel;"Code et documents disponibles ; exigences frontend, fournisseur ou deploiement non toutes validees. Voir docs/REQUIREMENTS_V1.md.";Equipe backend / collectif selon exigence;2026-09-14;28923fc
R38;Temps réels/écarts et support de pitch, p. 6;"§17 ; relevé réel, comparaison et support.";non execute;;Equipe backend / collectif selon exigence;2026-09-14;28923fc
R39;Storytelling, live et participation de tous, p. 7;"§17 ; répétition collective.";non execute;;Equipe backend / collectif selon exigence;2026-09-14;28923fc
R40;Adaptation aux questions du jury, p. 7;"§17 ; variantes et explication des limites.";non execute;;Equipe backend / collectif selon exigence;2026-09-14;28923fc
