fichier,format,portee,controle
docs/proofs/parser-pilot/BILAN_PARSEUR.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/ADMIN_NOTIFICATIONS_DISCORD.md,md,Document spécialisé : portée propre,Lecture UTF-8 et liens locaux
docs/quality/ADMIN_PSC_EXPLOITATION.md,md,Référence courante revue ou corrigée,Lecture UTF-8 et liens locaux
docs/quality/AIDE_SUPPORT_GUIDES_2026-09-19.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/AUDIT_FRANCE_TRAVAIL_2026-09-17.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/CAMPAGNE_FINALE_2026-09-19.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/CATEGORISATION_ANNONCES_2026-09-18.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/COLLECTE_NATIONALE_PRODUCTION_2026-09-17.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/CONCURRENCE_ACTIONS.md,md,Document spécialisé : portée propre,Lecture UTF-8 et liens locaux
docs/quality/CONFIGURATION.md,md,Référence courante revue ou corrigée,Lecture UTF-8 et liens locaux
docs/quality/CONVERSIONS_ENTREPRISE_2026-09-19.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/CORRECTIONS_SECURITE_PWA_2026-09-18.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/DIAGNOSTIC_MATCHING_2026-09-20.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/DISCORD_VERIFICATION_2026-09-17.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/EXPLOITATION_REPRISE.md,md,Référence courante revue ou corrigée,Lecture UTF-8 et liens locaux
docs/quality/IMPORTS_EXTERNES_PAGINATION_2026-09-17.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/IMPORTS_SOBRIETE_2026-09-19.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/IMPORT_CV_EXPERIENCES_2026-09-17.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/INFORMATIONS_PERSONNELLES_VERROUILLEES_2026-09-17.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/INVENTAIRE_MISSIONS_FICTIVES_2026-09-17.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/Inventaire_49_missions_fictives_2026-09-17.pdf,pdf,"Preuve historique, résultats non réactualisés",Fichier présent
docs/quality/LECTURE_CV_ENRICHIE_2026-09-19.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/LIMITEURS_PARTAGES_2026-09-19.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/LIVRAISON_ADMIN_MIXTE_2026-09-17.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/LIVRAISON_DEMANDES_PARTENAIRES_RIB_2026-09-17.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/MATCHING_ACCESSIBILITE_SEO_2026-09-19.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/MATRICE_42_TESTS_2026-09-19.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/MISSIONS_DEMONSTRATION_2026-09-18.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/MISSION_GUARDRAILS_2026-09-19.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/N8N_CONTINUITE_2026-09-19.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/OPTIMISATION_MATCHING_2026-09-20.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/PDF_MISSIONS_UNE_PAGE_2026-09-19.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/PREPARATION_CONTRAT_RETRAIT_CATALOGUE_2026-09-19.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/PROFIL_CANDIDAT_DESIGN_SEO_2026-09-18.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/RECETTE_CONTRAT_PAGES_ADMIN_2026-09-19.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/RECETTE_PARCOURS_CLIENT_2026-09-19.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/RECETTE_PRODUCTION_2026-09-17.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/RECHERCHE_LIEU_INDEPENDANT_2026-09-17.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/RECOMMANDATIONS_DIAGNOSTIC.md,md,Document spécialisé : portée propre,Lecture UTF-8 et liens locaux
docs/quality/RECUPERATION_AUTONOME_2026-09-19.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/REVUE_CODE_2026-09-21.md,md,Revue du code et validation locale datées,"Compilation, imports, tests unitaires/intégration/navigateur"
docs/quality/RGAA_CORRECTIONS_2026-09-20.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/RIB_ANALYSE_AUTOMATIQUE_2026-09-17.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/RIB_CAMERA_ANALYSE_2026-09-17.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/SAUVEGARDES_OPERATIONNELLES_2026-09-19.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/SECURITE_CORRECTIONS_2026-09-20.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/TESTS_NAVIGATEUR_ERREURS_2026-09-20.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/TICKET_DATES_PREUVES_2026-09-19.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/ZONE_RECHERCHE_ALERTES_2026-09-20.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/quality/frontend-quality-2026-09-17.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/references/D-WEB-901-project.pdf,pdf,"Source de cadrage originale, conservée",Fichier présent
docs/references/Interimatch_Sante_Catalogue_Complet_Fonctionnalites.docx,docx,"Source de cadrage originale, conservée",Archive Office et XML lisibles
docs/references/README.md,md,"Source de cadrage originale, conservée",Lecture UTF-8 et liens locaux
docs/rendu/README.md,md,Document spécialisé : portée propre,Lecture UTF-8 et liens locaux
docs/supabase-migration.md,md,Document spécialisé : portée propre,Lecture UTF-8 et liens locaux
frontend/DESIGN.md,md,Document spécialisé : portée propre,Lecture UTF-8 et liens locaux
frontend/INTERFACES.md,md,Référence courante revue ou corrigée,Lecture UTF-8 et liens locaux
frontend/README.md,md,Document spécialisé : portée propre,Lecture UTF-8 et liens locaux
frontend/docs/AGENDA_CRENEAUX_2026-09-16.md,md,Note historique de conception ou recette,Lecture UTF-8 et liens locaux
frontend/docs/BESOINS_STRUCTURES_2026-09-16.md,md,Note historique de conception ou recette,Lecture UTF-8 et liens locaux
frontend/docs/COOKIES_FINESS_2026-09-16.md,md,Note historique de conception ou recette,Lecture UTF-8 et liens locaux
frontend/docs/INTEGRATION_BACKEND.md,md,Référence courante revue ou corrigée,Lecture UTF-8 et liens locaux
frontend/docs/PHOTOS_MAQUETTES.md,md,Note historique de conception ou recette,Lecture UTF-8 et liens locaux
frontend/public/aide/discord/retrouver-identifiant-discord.pdf,pdf,Document spécialisé : portée propre,Fichier présent
frontend/public/guides/tutorials/annulation-emails.vtt,vtt,Tutoriel réenregistré ; étapes et sous-titres contrôlés,Lecture navigateur et vérification des médias
frontend/public/guides/tutorials/candidature-agenda.vtt,vtt,Tutoriel réenregistré ; étapes et sous-titres contrôlés,Lecture navigateur et vérification des médias
frontend/public/guides/tutorials/confirmation-pdf.vtt,vtt,Tutoriel réenregistré ; étapes et sous-titres contrôlés,Lecture navigateur et vérification des médias
frontend/public/guides/tutorials/inscription-diplomes.vtt,vtt,Tutoriel réenregistré ; étapes et sous-titres contrôlés,Lecture navigateur et vérification des médias
frontend/public/guides/tutorials/profil-cv.vtt,vtt,Tutoriel réenregistré ; étapes et sous-titres contrôlés,Lecture navigateur et vérification des médias
frontend/public/guides/tutorials/recherche-matching.vtt,vtt,Tutoriel réenregistré ; étapes et sous-titres contrôlés,Lecture navigateur et vérification des médias
scripts/SAFE_DEMO_IMPORT.md,md,Document spécialisé : portée propre,Lecture UTF-8 et liens locaux
docs/quality/TUTORIELS_VIDEO_2026-09-21.md,md,Réenregistrement et contrôle des six tutoriels,Parcours fictifs et médias vérifiés
docs/rendu/LIVRAISON_VERIFIEE.json,json,Registre de livraison datée,JSON et références des preuves existantes
docs/quality/COHERENCE_BRANCHES_2026-09-21.md,md,Comparaison exhaustive des branches,Comparaison de contenu et liens locaux
